Salas,capacidad,aforo_suficiente,aforo_insuficiente,total,pct_aforo_suficiente,pct_aforo_insuficiente
CRP43,71,505,0,505,100.0,0.0
CRP33,71,505,0,505,100.0,0.0
KAUS1,68,505,0,505,100.0,0.0
K1,82,505,0,505,100.0,0.0
IC4,77,505,0,505,100.0,0.0
V205,65,505,0,505,100.0,0.0
V207,60,497,8,505,98.42,1.58
CM3,50,474,31,505,93.86,6.14
CM5,45,464,41,505,91.88,8.12
V103,45,464,41,505,91.88,8.12
V102,45,464,41,505,91.88,8.12
E6,45,464,41,505,91.88,8.12
E1,45,464,41,505,91.88,8.12
CM4,45,464,41,505,91.88,8.12
LC-03,40,440,65,505,87.13,12.87
V105,40,440,65,505,87.13,12.87
LC6,40,440,65,505,87.13,12.87
LAMB,40,440,65,505,87.13,12.87
K3,40,440,65,505,87.13,12.87
IC3,40,440,65,505,87.13,12.87
IC2,44,440,65,505,87.13,12.87
LC1,36,387,118,505,76.63,23.37
LFIS,39,387,118,505,76.63,23.37
S210,35,383,122,505,75.84,24.16
S209,35,383,122,505,75.84,24.16
IC8,34,351,154,505,69.5,30.5
D105,34,351,154,505,69.5,30.5
CM6,30,349,156,505,69.11,30.89
LC-02,30,349,156,505,69.11,30.89
K2,30,349,156,505,69.11,30.89
IC1,30,349,156,505,69.11,30.89
S318,30,349,156,505,69.11,30.89
KAUS5,29,145,360,505,28.71,71.29
LPME,28,145,360,505,28.71,71.29
LELM,28,145,360,505,28.71,71.29
KAUT2,28,145,360,505,28.71,71.29
LP,29,145,360,505,28.71,71.29
LC2,29,145,360,505,28.71,71.29
KAUT1,28,145,360,505,28.71,71.29
LMIN,28,145,360,505,28.71,71.29
LC7,25,139,366,505,27.52,72.48
KAUS2,26,139,366,505,27.52,72.48
LAUT,25,139,366,505,27.52,72.48
S316,25,139,366,505,27.52,72.48
KAUL1,26,139,366,505,27.52,72.48
KAUS3,26,139,366,505,27.52,72.48
LC3,25,139,366,505,27.52,72.48
LPOT,27,139,366,505,27.52,72.48
LPIR,24,121,384,505,23.96,76.04
LRSM,20,116,389,505,22.97,77.03
ANT21,22,116,389,505,22.97,77.03
IM2,20,116,389,505,22.97,77.03
IM3,20,116,389,505,22.97,77.03
KAUT5,20,116,389,505,22.97,77.03
KAUT4,20,116,389,505,22.97,77.03
KAUT6,20,116,389,505,22.97,77.03
KAUT7,20,116,389,505,22.97,77.03
LC4,23,116,389,505,22.97,77.03
LROB,21,116,389,505,22.97,77.03
S314,20,116,389,505,22.97,77.03
LELE,20,116,389,505,22.97,77.03
A106,18,76,429,505,15.05,84.95
LCSI,18,76,429,505,15.05,84.95
KAUT3,17,76,429,505,15.05,84.95
IOLAB,15,72,433,505,14.26,85.74
SRA01,15,72,433,505,14.26,85.74
LSD,15,72,433,505,14.26,85.74
LCOM,12,54,451,505,10.69,89.31
TBD,11,49,456,505,9.7,90.3
KAUT8,10,45,460,505,8.91,91.09
IM4,9,5,500,505,0.99,99.01
LFLO,8,5,500,505,0.99,99.01
LSO,8,5,500,505,0.99,99.01
