Asignatura,Vacantes,Horas_Semanales,Num_salas_utiles,Bloques_disponibles,TE
(PRI82-A) - SISTEMAS DE GESTIÓN DE CA,40,12,21,945,0.29
(IC801-A) - DIRECCION DE PROYECTOS,45,4,14,630,0.19
(INT75-I) - GESTION DE EMPRESAS,30,12,32,1440,0.44
(INT91-I) - TALLER DE TITULO,30,24,32,1440,0.44
(ARQ23-A) - HISTORIA Y TEORIA I,60,3,7,315,0.1
(ARQ31-B) - TALLER 3,30,8,32,1440,0.44
(ARQ41-B) - TALLER 4,30,8,32,1440,0.44
(ARQ83-A) - TERRITORIO 4,40,3,21,945,0.29
(ARQ65-A) - CONSTRUCCION 3,40,3,21,945,0.29
(ARQ85-A) - INSTALACIONES,30,3,32,1440,0.44
(ARQ21-A) - TALLER 2,30,16,32,1440,0.44
(ARQ22-A) - GEOMETRIA Y ARQUITECTURA,60,3,7,315,0.1
(ARQ56-A) - PRACTICA EN OFICINA,30,2,32,1440,0.44
(ARQ96-A) - PRACTICA EN TERRENO,30,2,32,1440,0.44
(INT56-J) - INGENIERIA ECONOMICA,30,12,32,1440,0.44
(INT59-J) - PRODUCCION I,30,12,32,1440,0.44
(INT68-I) - PRODUCCION II,30,12,32,1440,0.44
(INT73-I) - PROCESOS INDUSTRIALES,30,12,32,1440,0.44
(IEP3C-A) - SALUD OCUPACIONAL II,5,12,73,3285,1.0
(PRI62-A) - LEGISLACIÓN DE SALUD Y SE,50,12,8,360,0.11
(PRI85-A) - TALLER DE TITULO,40,12,21,945,0.29
(IME64-A) - CINETICA QUIMICA,30,3,32,1440,0.44
(IMEA2-A) - CADENA DE VALOR HIDROMETA,30,2,32,1440,0.44
(PRI66-A) - TALLER DE INTEGRACIÓN PRO,50,6,8,360,0.11
(FIA52-A) - ESTADÍSTICA APLICADA,30,5,32,1440,0.44
(FIA41-B) - TERMODINÁMICA,50,6,8,360,0.11
(IME61-A) - BALANCE DE MATERIA Y ENER,30,3,32,1440,0.44
(IME83-A) - PURIFICACION Y SEPARACION,30,7,32,1440,0.44
(INT52-I) - TERMODINAMICA,30,12,32,1440,0.44
(IC804-A) - GESTIÓN DE PRODUCCIÓN,45,4,14,630,0.19
(IC904-A) - PRODUCCION,1,2,73,3285,1.0
(ICA04-A) - TALLER DE TITULO,40,3,21,945,0.29
(ICIA3-A) - PREPARCIÓN PARA EL PROCES,30,3,32,1440,0.44
(INT91-J) - TALLER DE TITULO,30,24,32,1440,0.44
(FIA24-C) - INTRODUCCIÓN A LA PROGRAM,33,4,27,1215,0.37
(CCI83-A) - REDES DE COMPUTADORES,30,4,32,1440,0.44
(FIA24-A) - INTRODUCCIÓN A LA PROGRAM,30,4,32,1440,0.44
(IC10F-A) - SEGURIDAD DE LA INFORMACI,25,4,48,2160,0.66
(PRI64-A) - ERGONOMÍA,50,12,8,360,0.11
(ICE64-A) - LABORATORIO DE ELECTRÓNIC,10,3,70,3150,0.96
(ICEA6-A) - TALLER DE TITULACIÓN,15,6,67,3015,0.92
(INT72-FA) - GESTION DE PERSONAS II,24,12,49,2205,0.67
(PRI82-S) - SISTEMAS DE GESTIÓN DE CA,25,12,48,2160,0.66
(INT91-S) - TALLER DE TITULO,15,24,67,3015,0.92
(ARQA2-A) - INTRODUCCION AL PROYECTO,30,9,32,1440,0.44
(INT75-FA) - GESTION DE EMPRESAS,28,12,40,1800,0.55
(INT24-FA) - COMPUTACION I,10,12,70,3150,0.96
(ICA44-A) - BIOQUIMICA Y MICROBIOLOGI,10,5,70,3150,0.96
(ICA82-A) - TRATAMIENTO DE EMISIONES,10,3,70,3150,0.96
(ICAA6-A) - CAMBIO CLIMÁTICO Y RESILE,12,3,68,3060,0.93
(CCI63-A) - FUNDAMENTOS DE LENGUAJE D,30,4,32,1440,0.44
(CCI82-A) - COMPILADORES,30,4,32,1440,0.44
(PRI64-DV1) - ERGONOMÍA,40,12,21,945,0.29
(PRI64-DV2) - ERGONOMÍA,40,12,21,945,0.29
(INT51-I) - MICROECONOMIA,30,12,32,1440,0.44
(IMEB9-A) - DERECHO MINERO Y AMBIENTA,10,3,70,3150,0.96
(IMIA3-A) - CIERRE Y ABANDONO DE FAEN,30,2,32,1440,0.44
(ICA61-A) - MECANICA DE FLUIDOS,10,5,70,3150,0.96
(ICA63-A) - FENOMENOS DE TRANSPORTE,10,5,70,3150,0.96
(ICAA3-A) - TALLER DE TITULO,30,6,32,1440,0.44
(ARQ63-A) - TERRITORIO 3,40,3,21,945,0.29
(ARQ91-A) - TALLER 9,30,16,32,1440,0.44
(ICE82-A) - LABORATORIO DE CONTROL AU,20,3,61,2745,0.84
(ICE83-A) - ROBÓTICA,20,4,61,2745,0.84
(ICEA3-A) - LABORATORIO DE CONTROL DI,15,3,67,3015,0.92
(ICEA4-A) - LABORATORIO DE ROBÓTICA,15,3,67,3015,0.92
(INT91-FA) - TALLER DE TITULO,28,12,40,1800,0.55
