Asignatura,Vacantes,Horas_Semanales,Num_salas_utiles,Bloques_disponibles,TE
(PRI82-A) - SISTEMAS DE GESTIÓN DE CA,40,12,8,360,0.2
(IC801-A) - DIRECCION DE PROYECTOS,45,2,5,225,0.12
(INT75-I) - GESTION DE EMPRESAS,30,12,15,675,0.38
(INT91-I) - TALLER DE TITULO,30,24,15,675,0.38
(ARQ23-A) - HISTORIA Y TEORIA I,60,3,3,135,0.07
(ARQ31-B) - TALLER 3,30,8,15,675,0.38
(ARQ41-B) - TALLER 4,30,8,15,675,0.38
(ARQ83-A) - TERRITORIO 4,40,3,8,360,0.2
(ARQ65-A) - CONSTRUCCION 3,40,3,8,360,0.2
(ARQ85-A) - INSTALACIONES,30,3,15,675,0.38
(ARQ21-A) - TALLER 2,30,16,15,675,0.38
(ARQ22-A) - GEOMETRIA Y ARQUITECTURA,60,3,3,135,0.07
(ARQ56-A) - PRACTICA EN OFICINA,30,2,15,675,0.38
(ARQ96-A) - PRACTICA EN TERRENO,30,2,15,675,0.38
(INT56-J) - INGENIERIA ECONOMICA,30,12,15,675,0.38
(INT59-J) - PRODUCCION I,30,12,15,675,0.38
(INT68-I) - PRODUCCION II,30,12,15,675,0.38
(INT73-I) - PROCESOS INDUSTRIALES,30,12,15,675,0.38
(IEP3C-A) - SALUD OCUPACIONAL II,5,12,40,1800,1.0
(PRI62-A) - LEGISLACIÓN DE SALUD Y SE,50,12,4,180,0.1
(PRI85-A) - TALLER DE TITULO,40,12,8,360,0.2
(IME64-A) - CINETICA QUIMICA,30,3,15,675,0.38
(IMEA2-A) - CADENA DE VALOR HIDROMETA,30,2,15,675,0.38
(PRI66-A) - TALLER DE INTEGRACIÓN PRO,50,6,4,180,0.1
(FIA52-A) - ESTADÍSTICA APLICADA,30,5,15,675,0.38
(FIA41-B) - TERMODINÁMICA,50,3,4,180,0.1
(IME61-A) - BALANCE DE MATERIA Y ENER,30,3,15,675,0.38
(IME83-A) - PURIFICACION Y SEPARACION,30,7,15,675,0.38
(INT52-I) - TERMODINAMICA,30,12,15,675,0.38
(IC804-A) - GESTIÓN DE PRODUCCIÓN,45,4,5,225,0.12
(IC904-A) - PRODUCCION,1,2,40,1800,1.0
(ICA04-A) - TALLER DE TITULO,40,3,8,360,0.2
(ICIA3-A) - PREPARCIÓN PARA EL PROCES,30,3,15,675,0.38
(INT91-J) - TALLER DE TITULO,30,12,15,675,0.38
(FIA24-C) - INTRODUCCIÓN A LA PROGRAM,33,4,12,540,0.3
(CCI83-A) - REDES DE COMPUTADORES,30,4,15,675,0.38
(FIA24-A) - INTRODUCCIÓN A LA PROGRAM,30,4,15,675,0.38
(IC10F-A) - SEGURIDAD DE LA INFORMACI,25,4,24,1080,0.6
(PRI64-A) - ERGONOMÍA,50,12,4,180,0.1
(ICE64-A) - LABORATORIO DE ELECTRÓNIC,10,3,39,1755,0.97
(ICEA6-A) - TALLER DE TITULACIÓN,15,6,37,1665,0.93
(INT72-FA) - GESTION DE PERSONAS II,24,12,25,1125,0.62
(PRI82-S) - SISTEMAS DE GESTIÓN DE CA,25,12,24,1080,0.6
(INT91-S) - TALLER DE TITULO,15,12,37,1665,0.93
(ARQA2-A) - INTRODUCCION AL PROYECTO,30,6,15,675,0.38
(INT75-FA) - GESTION DE EMPRESAS,28,12,20,900,0.5
(INT24-FA) - COMPUTACION I,10,12,39,1755,0.97
(ICA44-A) - BIOQUIMICA Y MICROBIOLOGI,10,5,39,1755,0.97
(ICA82-A) - TRATAMIENTO DE EMISIONES,10,3,39,1755,0.97
(ICAA6-A) - CAMBIO CLIMÁTICO Y RESILE,12,3,38,1710,0.95
(CCI63-A) - FUNDAMENTOS DE LENGUAJE D,30,4,15,675,0.38
(CCI82-A) - COMPILADORES,30,4,15,675,0.38
(PRI64-DV1) - ERGONOMÍA,40,12,8,360,0.2
(PRI64-DV2) - ERGONOMÍA,40,12,8,360,0.2
(INT51-I) - MICROECONOMIA,30,12,15,675,0.38
(IMEB9-A) - DERECHO MINERO Y AMBIENTA,10,3,39,1755,0.97
(IMIA3-A) - CIERRE Y ABANDONO DE FAEN,30,2,15,675,0.38
(ICA61-A) - MECANICA DE FLUIDOS,10,5,39,1755,0.97
(ICA63-A) - FENOMENOS DE TRANSPORTE,10,3,39,1755,0.97
(ICAA3-A) - TALLER DE TITULO,30,3,15,675,0.38
(ARQ63-A) - TERRITORIO 3,40,3,8,360,0.2
(ARQ91-A) - TALLER 9,30,8,15,675,0.38
(ICE82-A) - LABORATORIO DE CONTROL AU,20,3,33,1485,0.82
(ICE83-A) - ROBÓTICA,20,4,33,1485,0.82
(ICEA3-A) - LABORATORIO DE CONTROL DI,15,3,37,1665,0.93
(ICEA4-A) - LABORATORIO DE ROBÓTICA,15,3,37,1665,0.93
(INT91-FA) - TALLER DE TITULO,28,12,20,900,0.5
(INT91-FB) - TALLER DE TITULO,28,12,20,900,0.5
(INT43-I) - TEORIA DE SISTEMAS,30,12,15,675,0.38
(PRI84-A) - TÉCNICAS DE NEGOCIACIÓN Y,40,12,8,360,0.2
(PRI83-S) - COMUNICACIÓN Y LIDERAZGO,25,12,24,1080,0.6
(INT55-S) - FINANZAS,25,12,24,1080,0.6
(ARQ71-A) - TALLER 7,20,4,33,1485,0.82
(ARQ81-A) - TALLER 8,30,4,15,675,0.38
(INT55-I) - FINANZAS,30,12,15,675,0.38
(IMIA4-A) - SIST. DE GESTION EN SEGUR,30,3,15,675,0.38
(CCI84-A) - TALLER DE INGENIERIA DE S,30,4,15,675,0.38
(CCIA1-A) - TALLER DE INNOVACION T.I.,30,4,15,675,0.38
(CCIA5-A) - TALLER DE TITULO,30,7,15,675,0.38
(ICA64-A) - BIOTECNOLOGIA APLICADA,10,8,39,1755,0.97
(PRI85-AR) - TALLER DE TITULO,25,12,24,1080,0.6
(INT82-J) - DESARROLLO Y EVALUACION D,30,12,15,675,0.38
(INT82-I) - DESARROLLO Y EVALUACION D,30,12,15,675,0.38
(PRI65-AR) - VIGILANCIA EPIDEMIOLÓGICA,35,12,10,450,0.25
(PRI63-AR) - HIGIENE OCUPACIONAL APLIC,35,12,10,450,0.25
(PRI64-AR) - ERGONOMÍA,35,12,10,450,0.25
(CCI65-A) - ANALISIS DE ALGORITMOS,30,4,15,675,0.38
(CCI95-A) - METODOLOGIA DE LA INVESTI,3,2,40,1800,1.0
(IC10D-A) - ESTRUCTURA DE DATOS,20,4,33,1485,0.82
(FIA53-A) - ONDAS Y ÓPTICA,35,4,10,450,0.25
(ICE44-A) - TEORÍA DE REDES I,15,4,37,1665,0.93
(INT14-J) - FISICA I,30,12,15,675,0.38
(INT34-J) - FISICA II,30,12,15,675,0.38
(PRO51-ON) - CÁLCULO II,30,6,15,675,0.38
(PRO52-ON) - LEGISLACIÓN DE SALUD Y SE,30,6,15,675,0.38
(PRO53-ON) - LEGISLACIÓN AMBIENTAL Y G,30,9,15,675,0.38
(PRO54-ON) - QUÍMICA INDUSTRIAL,30,6,15,675,0.38
(PRO55-ON) - LABORATORIO DE HIGIENE OC,30,12,15,675,0.38
(PRO56-ON) - TALLER DE INTEGRACIÓN INI,30,6,15,675,0.38
(INT52-S) - TERMODINAMICA,25,12,24,1080,0.6
(INT61-S) - MECANICA DE FLUIDOS,25,12,24,1080,0.6
(PRI61-S) - OPERACIONES UNITARIA,30,12,15,675,0.38
(PRI62-AR) - LEGISLACIÓN DE SALUD Y SE,35,12,10,450,0.25
(INT72-I) - GESTION DE PERSONAS II,30,12,15,675,0.38
(ARQ62-A) - URBANISMO 1,40,2,8,360,0.2
(ARQ82-A) - URBANISMO 3,30,3,15,675,0.38
(FIA14-C) - INTRODUCCIÓN A LA INGENIE,65,5,2,90,0.05
(INT51-S) - MICROECONOMIA,25,12,24,1080,0.6
(PRI81-S) - METODOLOGÍAS DE INVESTIGA,25,12,24,1080,0.6
(PRI84-AR) - TÉCNICAS DE NEGOCIACIÓN Y,25,12,24,1080,0.6
(INT42-S) - CONTABILIDAD Y SISTEMAS D,25,12,24,1080,0.6
(PRI65-DV1) - VIGILANCIA EPIDEMIOLÓGICA,40,12,8,360,0.2
(PRI65-DV2) - VIGILANCIA EPIDEMIOLÓGICA,40,12,8,360,0.2
(INT43-FA) - TEORIA DE SISTEMAS,24,12,25,1125,0.62
(INT68-FB) - PRODUCCION II,24,12,25,1125,0.62
(CCIA4-A) - LIDERAZGO Y EMPRENDIMIENT,30,4,15,675,0.38
(PRI82-EEE) - SISTEMAS DE GESTIÓN DE CA,40,12,8,360,0.2
