Asignatura,Vacantes,Horas_Semanales,Num_salas_utiles,Bloques_disponibles,TE
(PRI82-A) - SISTEMAS DE GESTIÓN DE CA,40,12,5,225,0.33
(IC801-A) - DIRECCION DE PROYECTOS,45,2,2,90,0.13
(INT75-I) - GESTION DE EMPRESAS,30,12,7,315,0.47
(INT91-I) - TALLER DE TITULO,30,24,7,315,0.47
(ARQ23-A) - HISTORIA Y TEORIA I,60,3,0,0,0.0
(ARQ31-B) - TALLER 3,30,8,7,315,0.47
(ARQ41-B) - TALLER 4,30,8,7,315,0.47
(ARQ83-A) - TERRITORIO 4,40,3,5,225,0.33
(ARQ65-A) - CONSTRUCCION 3,40,3,5,225,0.33
(ARQ85-A) - INSTALACIONES,30,3,7,315,0.47
(ARQ21-A) - TALLER 2,30,8,7,315,0.47
(ARQ22-A) - GEOMETRIA Y ARQUITECTURA,60,3,0,0,0.0
(ARQ56-A) - PRACTICA EN OFICINA,30,2,7,315,0.47
(ARQ96-A) - PRACTICA EN TERRENO,30,2,7,315,0.47
(INT56-J) - INGENIERIA ECONOMICA,30,12,7,315,0.47
(INT59-J) - PRODUCCION I,30,12,7,315,0.47
(INT68-I) - PRODUCCION II,30,12,7,315,0.47
(INT73-I) - PROCESOS INDUSTRIALES,30,12,7,315,0.47
(IEP3C-A) - SALUD OCUPACIONAL II,5,12,15,675,1.0
(PRI62-A) - LEGISLACIÓN DE SALUD Y SE,50,12,1,45,0.07
(PRI85-A) - TALLER DE TITULO,40,12,5,225,0.33
(IME64-A) - CINETICA QUIMICA,30,3,7,315,0.47
(IMEA2-A) - CADENA DE VALOR HIDROMETA,30,2,7,315,0.47
(PRI66-A) - TALLER DE INTEGRACIÓN PRO,50,6,1,45,0.07
(FIA52-A) - ESTADÍSTICA APLICADA,30,3,7,315,0.47
(FIA41-B) - TERMODINÁMICA,50,3,1,45,0.07
(IME61-A) - BALANCE DE MATERIA Y ENER,30,3,7,315,0.47
(IME83-A) - PURIFICACION Y SEPARACION,30,7,7,315,0.47
(INT52-I) - TERMODINAMICA,30,12,7,315,0.47
(IC804-A) - GESTIÓN DE PRODUCCIÓN,45,4,2,90,0.13
(IC904-A) - PRODUCCION,1,2,15,675,1.0
(ICA04-A) - TALLER DE TITULO,40,3,5,225,0.33
(ICIA3-A) - PREPARCIÓN PARA EL PROCES,30,3,7,315,0.47
(INT91-J) - TALLER DE TITULO,30,12,7,315,0.47
(FIA24-C) - INTRODUCCIÓN A LA PROGRAM,33,4,6,270,0.4
(CCI83-A) - REDES DE COMPUTADORES,30,4,7,315,0.47
(FIA24-A) - INTRODUCCIÓN A LA PROGRAM,30,4,7,315,0.47
(IC10F-A) - SEGURIDAD DE LA INFORMACI,25,4,10,450,0.67
(PRI64-A) - ERGONOMÍA,50,12,1,45,0.07
(ICE64-A) - LABORATORIO DE ELECTRÓNIC,10,3,14,630,0.93
(ICEA6-A) - TALLER DE TITULACIÓN,15,6,12,540,0.8
(INT72-FA) - GESTION DE PERSONAS II,24,12,10,450,0.67
(PRI82-S) - SISTEMAS DE GESTIÓN DE CA,25,12,10,450,0.67
(INT91-S) - TALLER DE TITULO,15,12,12,540,0.8
(ARQA2-A) - INTRODUCCION AL PROYECTO,30,3,7,315,0.47
(INT75-FA) - GESTION DE EMPRESAS,28,12,9,405,0.6
(INT24-FA) - COMPUTACION I,10,12,14,630,0.93
